,Intense Moisturizing Cream,,,31,,283,,,,
,"TimeWise Age Fighting Moisturizer, Normal/Dry Skin 3 fl. oz",,,28,,1130,,5.53,,13
,Timewise Repair Volu-firm Night Treatment,,,45.22,,257,,6.67,,22.63
,Timewise Age Fighting Moisturizer Normal Skin,,,28,,132,,5.68,,13
,CC Cream Sunscreen Broad Spectrum SPF 15 1fl. oz,,,25,,117,,7,,9
,TimeWise Repair Volu-Firm Eye Renewal Cream,,,32,,167,,3.85,,19
,TIMEWISE REPAIR VOLU-FIRM LIFTING SERUM,,,52,,204,,8.8,,30
,Timewise Repair Volu-Firm Day Cream SPF 30,,,44,,200,,9,,23
,TimeWise Age Minimize 3D Replenishing Serum,,,45,,153,,7.7,,25.5
,Silky Setting Powder,,,24,,78(good sell in past month),,6.39,,9
,Eyeliner Black,,,19,,126,,5,,6
,Timewise Age Minimize 3D 4-In-1,,,27,,649,,5.63,,12
,Oil-Free Eye Makeup Remover,,,20.79,,1034,,4.89,,6.8
