Ontario,23
Southern Ontario Region,20
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,32
Niagara Regional Municipality,103
Haldimand-Norfolk Regional Municipality,35
Brant County,24
Oxford County,12
Elgin County,19
Chatham-Kent Division,2
Essex County,11
Lambton County,22
Middlesex County,66
Kent County,0
Western Ontario Region,27
Peel County/ Regional Municipality,-18
Dufferin County,41
Wellington County,14
Halton County/ Regional Municipality,12
Waterloo County/ Regional Municipality,5
Perth County,39
Huron County,12
Bruce County,45
Grey County,28
Simcoe County,28
Central Ontario Region,17
Hastings County,-2
Prince Edward County/ Division,38
Northumberland County,11
Peterborough County,7
Victoria County/Kawartha Lakes Division,19
Durham County/ Regional Municipality,10
York Regional Municipality,37
Toronto Metro Municipality,0
Muskoka County/ District Municipality,11
Haliburton County,-14
Parry Sound County/ District,34
Eastern Ontario Region,17
Stormont Dundas And Glengarry United Counties,47
Prescott And Russell United Counties,22
Ottawa Division,-7
Leeds And Grenville United Counties,38
Lanark County,4
Frontenac County,-7
Lennox & Addington County,-46
Renfrew County,57
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,36
Nipissing County/ District,220
Manitoulin County/ District,-9
Sudbury County/ District,246
Sudbury Regional/Greater Sudbury Division,0
Timiskaming County/ District,59
Cochrane County/ District,-19
Algoma County/ District,0
Thunder Bay County/ District,1
Rainy River County/ District,27
Kenora County/District,0
