Hastings County,306068,301187,279263,253961
Prince Edward County/ Division,143223,145610,130771,125948
Northumberland County,253665,241159,240881,231606
Peterborough County,258642,249429,228936,202240
Victoria County/Kawartha Lakes Division,360690,356946,326092,309405
Durham County/ Regional Municipality,330286,326702,297012,292815
York Regional Municipality,175965,167076,153559,142585
Muskoka County/ District Municipality,34779,38759,27375,23575
Haliburton County,13976,15309,12749,11919
Parry Sound County/ District,95810,82617,76987,66315
