Nipissing County/ District,83170,83747,79118,68632
Manitoulin County/ District,173523,178144,158088,141316
Sudbury County/ District,58633,50799,45982,48070
Sudbury Regional/Greater Sudbury Division,25414,22892,20068,17361
Timiskaming County/ District,214835,205800,192307,176773
Cochrane County/ District,76872,75236,68747,54533
Algoma County/ District,94124,95814,81005,74307
Thunder Bay County/ District,59383,61850,59072,49219
Rainy River County/ District,188080,211625,190660,160824
Kenora County/District,37992,36153,31111,26209
