Ontario,89
Southern Ontario Region,143
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,83
Niagara Regional Municipality,108
Haldimand-Norfolk Regional Municipality,135
Brant County,137
Oxford County,183
Elgin County,124
Chatham-Kent Division,186
Essex County,144
Lambton County,143
Middlesex County,144
Kent County,0
Western Ontario Region,94
Peel County/ Regional Municipality,36
Dufferin County,54
Wellington County,90
Halton County/ Regional Municipality,54
Waterloo County/ Regional Municipality,116
Perth County,191
Huron County,155
Bruce County,68
Grey County,30
Simcoe County,61
Central Ontario Region,41
Hastings County,19
Prince Edward County/ Division,31
Northumberland County,31
Peterborough County,18
Victoria County/Kawartha Lakes Division,28
Durham County/ Regional Municipality,59
York Regional Municipality,98
Toronto Metro Municipality,0
Muskoka County/ District Municipality,9
Haliburton County,3
Parry Sound County/ District,14
Eastern Ontario Region,42
Stormont Dundas And Glengarry United Counties,78
Prescott And Russell United Counties,59
Ottawa Division,64
Leeds And Grenville United Counties,24
Lanark County,21
Frontenac County,16
Lennox & Addington County,17
Renfrew County,18
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,13
Nipissing County/ District,10
Manitoulin County/ District,5
Sudbury County/ District,7
Sudbury Regional/Greater Sudbury Division,29
Timiskaming County/ District,31
Cochrane County/ District,13
Algoma County/ District,5
Thunder Bay County/ District,30
Rainy River County/ District,7
Kenora County/District,9
