Ontario,66
Southern Ontario Region,59
Hamilton-Wentworth Regional Municipality,0
Hamilton Division,67
Niagara Regional Municipality,55
Haldimand-Norfolk Regional Municipality,71
Brant County,66
Oxford County,38
Elgin County,59
Chatham-Kent Division,57
Essex County,57
Lambton County,52
Middlesex County,72
Kent County,0
Western Ontario Region,66
Peel County/ Regional Municipality,61
Dufferin County,54
Wellington County,67
Halton County/ Regional Municipality,96
Waterloo County/ Regional Municipality,70
Perth County,63
Huron County,62
Bruce County,80
Grey County,69
Simcoe County,56
Central Ontario Region,59
Hastings County,56
Prince Edward County/ Division,61
Northumberland County,80
Peterborough County,64
Victoria County/Kawartha Lakes Division,53
Durham County/ Regional Municipality,53
York Regional Municipality,65
Toronto Metro Municipality,0
Muskoka County/ District Municipality,1
Haliburton County,-12
Parry Sound County/ District,57
Eastern Ontario Region,89
Stormont Dundas And Glengarry United Counties,85
Prescott And Russell United Counties,63
Ottawa Division,92
Leeds And Grenville United Counties,89
Lanark County,123
Frontenac County,99
Lennox & Addington County,90
Renfrew County,87
Ottawa-Carleton Regional Municipality,0
Northern Ontario Region,132
Nipissing County/ District,123
Manitoulin County/ District,151
Sudbury County/ District,34
Sudbury Regional/Greater Sudbury Division,182
Timiskaming County/ District,108
Cochrane County/ District,130
Algoma County/ District,124
Thunder Bay County/ District,109
Rainy River County/ District,162
Kenora County/District,144
